Team,Name,BATTLEBOX_points,BUILDBATTLE_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVALGAMES_points,TAG_points,TNTRUN_points,BATTLEBOX_multiplier,BUILDBATTLE_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TAG_multiplier,TNTRUN_multiplier,Total,RawTotal
Teal Team Six,foxxytwelve,292.5,440.0,339.0,310.0,216.0,162.0,360.0,558.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2677.5,1558.0
Teal Team Six,zanerator,360.0,440.0,97.5,131.25,135.0,132.0,276.0,259.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1830.75,1068.0
The Capybara Crew,DJ_Slime1,220.5,371.25,303.0,466.25,263.0,30.0,368.0,315.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2337.0,1318.5
The Capybara Crew,F3V3X,198.0,371.25,456.0,242.5,245.0,198.0,350.0,154.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2214.75,1376.5
The Capybara Crew,SeasonPower,198.0,371.25,432.0,228.75,212.0,204.0,222.0,301.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2169.0,1337.5
The Capybara Crew,bubbaheaton,355.5,371.25,378.0,341.25,248.0,186.0,204.0,462.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2546.0,1541.0
The Gooners,Kodakiin,117.0,433.75,24.0,78.75,111.0,66.0,274.0,231.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1335.5,728.5
The Gooners,Samyntha,184.5,433.75,531.0,1173.75,105.0,78.0,434.0,483.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3423.0,1761.5
The Gooners,TitaniumMuff,139.5,433.75,139.5,27.5,78.0,72.0,258.0,91.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1239.25,695.0
The Gooners,jazzthomas,252.0,433.75,90.0,557.5,141.0,138.0,278.0,647.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2537.25,1366.0
WeAreNotCreative,Mztt,481.5,502.5,568.5,1100.0,417.0,156.0,618.0,866.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,4709.5,2656.0
WeAreNotCreative,Pancake_Manz,234.0,502.5,138.0,872.5,201.0,168.0,458.0,691.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3265.0,1741.5
WeAreNotCreative,Sir_TB,256.5,502.5,154.5,128.75,57.0,120.0,378.0,147.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1744.25,966.0
WeAreNotCreative,_savannah,234.0,502.5,214.5,175.0,60.0,144.0,532.0,322.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2184.0,1201.0
bluntsmokers,GoodGuySam,661.5,502.5,445.5,893.75,156.0,48.0,460.0,301.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3468.25,1881.0
bluntsmokers,Zombeescott,706.5,502.5,424.5,200.0,75.0,36.0,632.0,455.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3031.5,1689.5
bluntsmokers,maxsm_,729.0,502.5,259.5,548.75,198.0,125.0,754.0,441.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3557.75,2000.0
bluntsmokers,snailberry,549.0,502.5,385.5,372.5,36.0,54.0,644.0,238.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2781.5,1504.0
mung,Lord_The_Kaizer,369.0,371.25,406.5,411.25,132.0,12.0,358.0,280.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2340.0,1293.0
mung,Mr_Diamond_2000,279.0,371.25,492.0,640.0,117.0,18.0,266.0,231.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,2414.25,1302.0
mung,__PVP__,391.5,371.25,399.0,601.25,405.0,6.0,418.0,555.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,3147.0,1813.5
mung,ripley2004,234.0,371.25,258.0,460.0,75.0,24.0,176.0,329.0,1.5,2.5,1.5,2.5,1.0,1.0,2.0,2.0,1927.25,1012.0
