Team,Name,BATTLEBOX_points,BINGO_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVAL_GAMES_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVAL_GAMES_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
rawr,DeepThrt,140.0,162.5,71.25,123.0,90.0,349.0,107.5,175.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1218.75,843.0
rawr,TYLERISCLANCY,308.0,325.0,165.0,277.0,114.0,429.0,452.5,229.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2300.0,1409.5
rawr,earthside,308.0,1015.0,464.25,1075.0,598.0,1309.0,830.0,621.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,6221.0,4060.5
snail fans,2Smokey,254.0,650.0,376.5,502.0,136.0,184.0,535.0,378.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3015.5,1675.0
snail fans,LegacyMrDen,380.0,427.5,347.25,507.0,212.0,128.0,650.0,330.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2982.5,1666.5
snail fans,ShutdownSoCool,296.0,202.5,310.5,657.0,36.0,160.0,405.0,486.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2553.75,1447.0
snail fans,snailberry,254.0,812.5,448.5,603.0,72.0,224.0,302.5,303.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3020.25,1672.0
teal team 5,Minearhero,530.0,915.0,251.25,212.0,400.0,96.0,422.5,94.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2921.25,1632.5
teal team 5,Pope_Dog,698.0,872.5,429.0,818.0,328.0,120.0,665.0,485.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4415.75,2430.5
teal team 5,cardsandhuskers,698.0,447.5,431.25,263.0,252.0,80.0,620.0,405.0,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,3196.75,1797.0
teal team 5,j_scotty_,530.0,0.0,192.0,182.0,116.0,88.0,365.0,182.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1655.25,955.5
team,Lightbulb1622,656.0,427.5,281.25,377.0,0.0,0.0,367.5,47.25,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2156.5,1053.5
team,LittleBubble64,656.0,182.5,336.0,88.0,154.0,208.0,252.5,33.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,1910.75,1154.5
team,Ryan_7777,614.0,1095.0,408.75,793.0,186.0,8.0,525.0,445.5,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4075.25,2115.0
team,YellowMandy,1034.0,770.0,421.5,768.0,258.0,120.0,610.0,459.75,2.0,2.5,1.5,2.0,1.0,1.0,2.5,1.5,4441.25,2418.5
