Name,FINAL_SCORE_1,FINAL_SCORE_2,FINAL_SCORE_3,FINAL_SCORE_4,FINAL_SCORE_5,FINAL_SCORE_6,FINAL_SCORE_7,AVG
Mr_Diamond_2000,4.008781774052363,4.056326593409148,,3.3743980182927857,3.1953672532966664,4.77710078229148,5.409611178681384,4.136930933337305
Mu7u,,6.014349184268462,5.027613368502277,,,,,5.52098127638537
Mztt,,12.572557684676667,10.0,9.45563054158806,10.0,,,10.507047056566183
Pancake_Manz,4.819734381529846,4.604020060400424,4.277254196135841,5.123439048410336,5.684325659581389,,,4.901754669211567
Pebbleleaf,,,,,,,6.387350609151749,6.387350609151749
Pope_Dog,10.0,4.704214957500575,,6.374221807644957,,,9.467496909788949,7.63648341873362
R41NY__,,4.390270625239437,5.840727163603705,3.126193025705111,4.113113074326155,4.902968645888963,,4.474654506952675
Ryan_7777,7.881708559680899,4.919840631746622,,,,4.679367358220612,7.840798647119072,6.330428799191801
Samyntha,,5.923675327218144,3.9602116650314105,6.176243510271727,4.495168765612931,4.16717907439836,8.753875868921844,5.5793923685757365
SeasonPower,,2.9482043515033034,,3.6689116249609706,,,2.726215778915275,3.1144439184598496
ShutdownSoCool,,,,,,3.277244653675952,4.640498720866279,3.9588716872711154
Sir_TB,,,,1.062306874257278,,,,1.062306874257278
Smart_Cookie,,,,,1.5807379798392964,,,1.5807379798392964
Stan_D_Man,,0.0,1.8898924830648496,,,,,0.9449462415324248
TYLERISCLANCY,,,,,,,3.309511814749814,3.309511814749814
ThatOneAsianBoi,,2.334313390891486,,,,,,2.334313390891486
TheWander02,,3.0939232685220324,,,,2.3889321597957984,,2.7414277141589154
TitaniumMuff,,,,1.0399672455702962,0.7179587235584167,,,0.8789629845643565
TreeGameDev,6.298970087604417,0.4264035939704677,5.537921792543702,,,,,4.087765158039528
TurboAlexZ,,,3.8055233448834622,,,,,3.8055233448834622
YellowMandy,9.519565718942436,7.3643860548097075,,,,5.718677147548243,9.379625558468067,7.995563619942113
Zombeescott,5.595987339374613,4.025206286975622,4.850763193835873,4.060765915431055,4.269540160659725,5.13218051055052,4.196447703562303,4.5901273014842445
_AzureX,,,,,,3.411266365803676,,3.411266365803676
_Deoxys,,,,,,,9.83836270644807,9.83836270644807
__PVP__,,,,6.065598852543465,,,,6.065598852543465
_savannah,2.9794707692441182,3.532505012128997,5.063844960719171,2.214348002247742,2.0322421605942185,,,3.1644821809868495
bubbaheaton,,3.4434163135919573,,4.622911548518523,4.586366590636877,,,4.217564817582453
candleflint,6.149858166391062,4.206611952588624,5.628195739927003,3.368445067018951,,,,4.83827773148141
cardsandhuskers,7.443470535752525,5.451051041288064,9.436987178315718,8.639199107638103,9.091973345478529,10.0,6.315184471207796,8.053980811382962
computerz4,3.497780262434517,,,,,,,3.497780262434517
dhaan007,5.248405559825813,2.656978590775781,,,,,,3.952692075300797
distractedm1nd,,,,,,,2.7012279347441344,2.7012279347441344
dripN_,,,,,,,9.10147554744043,9.10147554744043
earthside,,,,15.024111346670988,20.835951540398625,13.392535752715055,17.67463264550676,16.73180782132286
foxxytwelve,7.399094534692107,5.917086729600073,,4.582240391076103,,,,5.966140551789427
iheartburgers,6.0722569577804695,5.111836693830287,6.49686858913995,5.4627006652347685,5.856595608825728,,6.360245721093597,5.8934173726507995
imaduck_lol,,1.0727554246290798,,,,,,1.0727554246290798
j_scotty_,,0.9219750722997498,3.247553223943793,3.127503070534027,0.9344893011480576,1.215527960702421,1.961855057627359,1.9014839477092345
jazzthomas,,,,4.467968078799501,,,,4.467968078799501
kaylinnn,,10.0,,,,,,10.0
maxsm_,,3.1474352709500697,,5.734071667077582,,,4.368181691034693,4.4165628763541145
nxva_ii,,7.292296686220307,8.978506640802783,,8.790008409546989,,,8.353603912190026
purploo,,,,,,1.5929594228631752,,1.5929594228631752
ripley2004,,,,2.0707158723309704,,,,2.0707158723309704
snailberry,,4.023645478768417,4.178449604171918,3.2112443925068055,4.481481162995572,3.301578257396471,5.873305579084237,4.1782840791539035
steelyduck,,,11.644519287370724,,,,,11.644519287370724
zanerator,,,,2.078785714264854,,,,2.078785714264854
zophies,,,0.4817149157362261,,,,,0.4817149157362261
